23-24,,,,,
유형,지점수,2023년 (양방),2024년 (양방),증감 수치,증감률(%)
계 (전체),270,18772,18708,-64,-0.340933305
도심,48,1747,1742,-5,-0.286204923
시계,76,5554,5545,-9,-0.162045373
교량,42,3517,3492,-25,-0.710833096
간선,84,5261,5237,-24,-0.456187037
도시고속,20,2693,2692,-1,-0.037133309
,,,,,
22-23,,,,,
구분(유형),지점,2022년(양방),2023년(양방),증감 수치,증감률(%)
계,139,"10,188","10,265",77,0.755791127
도심,24,953,974,21,2.203567681
시계,38,"2,920","2,951",31,1.061643836
교량,21,"1,902","1,895",-7,-0.368033649
간선,46,"3,036","3,063",27,0.889328063
도시고속,10,"1,377","1,382",5,0.363108206
,,,,,
21-22,,,,,
구분(유형),지점,2021년(양방),2022년(양방),증감 수치,증감률(%)
계,135,"9,932","9,965",33,0.332259364
도심,24,946,953,7,0.739957717
시계,37,"2,845","2,850",5,0.175746924
교량,20,"1,843","1,848",5,0.271296799
간선,46,"3,035","3,036",1,0.032948929
도시고속,8,"1,263","1,278",15,1.187648456
