자치구별,사망자수(명),심각정도,발생건수(건),부상자수(명),사고당사망률,사고당부상률,CCTV설치대수
종로구,5,낮음,903,1224,0.005537099,1.355481728,133
중구,6,낮음,955,1248,0.006282723,1.306806283,330
용산구,12,보통,890,1178,0.013483146,1.323595506,402
성동구,9,보통,1119,1481,0.008042895,1.323503128,439
광진구,4,낮음,869,1145,0.004602992,1.317606444,92
동대문구,10,보통,1448,1845,0.006906077,1.274171271,229
중랑구,4,낮음,1447,1952,0.00276434,1.348997927,304
성북구,7,낮음,1275,1622,0.005490196,1.272156863,353
강북구,3,낮음,1087,1420,0.00275989,1.306347746,105
도봉구,7,낮음,741,990,0.009446694,1.336032389,114
노원구,5,낮음,1462,2016,0.003419973,1.378932969,159
은평구,14,보통,953,1415,0.014690451,1.48478489,371
서대문구,6,낮음,928,1256,0.006465517,1.353448276,421
마포구,13,보통,1272,1754,0.010220126,1.378930818,147
양천구,7,낮음,1344,1829,0.005208333,1.360863095,198
강서구,17,심각,1575,2131,0.010793651,1.353015873,141
구로구,10,보통,1325,1810,0.00754717,1.366037736,467
금천구,6,낮음,810,1084,0.007407407,1.338271605,191
영등포구,7,낮음,2208,3102,0.00317029,1.404891304,613
동작구,10,보통,1307,1819,0.007651109,1.391736802,73
관악구,13,보통,1444,1819,0.00900277,1.259695291,751
서초구,9,보통,2250,3075,0.004,1.366666667,1237
강남구,17,심각,3752,5189,0.004530917,1.382995736,815
송파구,11,보통,2595,3509,0.004238921,1.3522158,438
강동구,7,낮음,1268,1600,0.005520505,1.261829653,143
종로구,6,낮음,778,1050,0.007712082,1.349614396,133
중구,3,낮음,854,1156,0.003512881,1.353629977,330
용산구,5,낮음,1014,1369,0.004930966,1.350098619,402
성동구,8,낮음,1057,1362,0.00756859,1.288552507,439
광진구,4,낮음,922,1216,0.004338395,1.318872017,92
동대문구,17,심각,1390,1656,0.012230216,1.191366906,229
중랑구,7,낮음,1373,1826,0.005098325,1.32993445,304
성북구,15,보통,1285,1606,0.011673152,1.249805447,353
강북구,6,낮음,1017,1302,0.005899705,1.280235988,105
도봉구,3,낮음,591,768,0.005076142,1.299492386,114
노원구,8,낮음,1413,1940,0.005661713,1.372965322,159
은평구,11,보통,867,1218,0.012687428,1.404844291,371
서대문구,9,보통,930,1206,0.009677419,1.296774194,421
마포구,14,보통,1102,1573,0.012704174,1.427404719,147
양천구,14,보통,1305,1692,0.010727969,1.296551724,198
강서구,13,보통,1501,2042,0.008660893,1.360426382,141
구로구,9,보통,1350,1729,0.006666667,1.280740741,467
금천구,16,심각,827,1167,0.019347037,1.411124547,191
영등포구,15,보통,2178,2967,0.006887052,1.362258953,613
동작구,11,보통,1148,1520,0.009581882,1.324041812,73
관악구,8,낮음,1419,1829,0.005637773,1.28893587,751
서초구,8,낮음,2118,2932,0.003777148,1.384324835,1237
강남구,10,보통,3820,5175,0.002617801,1.354712042,815
송파구,14,보통,2607,3509,0.005370157,1.345991561,438
강동구,9,보통,1047,1413,0.008595989,1.349570201,143
종로구,3,낮음,974,1351,0.003080082,1.387063655,133
중구,2,낮음,943,1212,0.002120891,1.285259809,330
용산구,11,보통,1014,1330,0.010848126,1.311637081,402
성동구,8,낮음,948,1222,0.008438819,1.289029536,439
광진구,9,보통,708,966,0.012711864,1.36440678,92
동대문구,12,보통,1534,1843,0.007822686,1.201434159,229
중랑구,10,보통,1401,1890,0.007137759,1.349036403,304
성북구,8,낮음,1288,1626,0.00621118,1.26242236,353
강북구,6,낮음,1044,1266,0.005747126,1.212643678,105
도봉구,2,낮음,522,705,0.003831418,1.350574713,114
노원구,6,낮음,1384,1913,0.00433526,1.382225434,159
은평구,9,보통,918,1256,0.009803922,1.368191721,371
서대문구,5,낮음,974,1303,0.00513347,1.337782341,421
마포구,10,보통,1065,1483,0.009389671,1.392488263,147
양천구,8,낮음,1165,1529,0.006866953,1.312446352,198
강서구,15,보통,1606,2108,0.009339975,1.312577833,141
구로구,12,보통,1274,1691,0.009419152,1.327315542,467
금천구,9,보통,844,1152,0.010663507,1.36492891,191
영등포구,20,심각,1998,2707,0.01001001,1.354854855,613
동작구,7,낮음,1217,1651,0.005751849,1.356614626,73
관악구,9,보통,1172,1535,0.007679181,1.309726962,751
서초구,8,낮음,2264,3391,0.003533569,1.497791519,1237
강남구,16,심각,3709,5052,0.004313831,1.362092208,815
송파구,9,보통,2581,3594,0.003487021,1.392483534,438
강동구,7,낮음,1151,1553,0.006081668,1.349261512,143
종로구,8,낮음,988,1331,0.008097166,1.347165992,133
중구,3,낮음,931,1194,0.003222342,1.282491944,330
용산구,11,보통,996,1366,0.011044177,1.371485944,402
성동구,6,낮음,919,1221,0.006528836,1.328618063,439
광진구,4,낮음,717,899,0.005578801,1.253835425,92
동대문구,10,보통,1674,2039,0.005973716,1.218040621,229
중랑구,7,낮음,1268,1704,0.005520505,1.34384858,304
성북구,8,낮음,1256,1581,0.006369427,1.258757962,353
강북구,5,낮음,972,1217,0.005144033,1.252057613,105
도봉구,7,낮음,530,685,0.013207547,1.29245283,114
노원구,9,보통,1366,1869,0.00658858,1.368228404,159
은평구,7,낮음,1039,1353,0.006737247,1.302213667,371
서대문구,4,낮음,916,1220,0.004366812,1.331877729,421
마포구,14,보통,1250,1715,0.0112,1.372,147
양천구,5,낮음,1221,1624,0.004095004,1.33005733,198
강서구,9,보통,1518,2112,0.005928854,1.391304348,141
구로구,5,낮음,1359,1840,0.003679176,1.353936718,467
금천구,7,낮음,876,1232,0.007990868,1.406392694,191
영등포구,7,낮음,1900,2619,0.003684211,1.378421053,613
동작구,6,낮음,1242,1668,0.004830918,1.342995169,73
관악구,10,보통,980,1252,0.010204082,1.27755102,751
서초구,7,낮음,2168,3319,0.003228782,1.530904059,1237
강남구,7,낮음,3926,5229,0.001782985,1.331889964,815
송파구,10,보통,2614,3603,0.003825555,1.37834736,438
강동구,4,낮음,1185,1522,0.003375527,1.284388186,143
종로구,5,낮음,917,1253,0.005452563,1.366412214,133
중구,16,심각,976,1236,0.016393443,1.266393443,330
용산구,12,보통,868,1174,0.013824885,1.352534562,402
성동구,7,낮음,919,1155,0.007616975,1.256800871,439
광진구,4,낮음,785,1018,0.005095541,1.296815287,92
동대문구,5,낮음,1520,1906,0.003289474,1.253947368,229
중랑구,8,낮음,1199,1623,0.006672227,1.353628023,304
성북구,7,낮음,1286,1628,0.005443235,1.265940902,353
강북구,5,낮음,877,1123,0.005701254,1.28050171,105
도봉구,5,낮음,522,671,0.009578544,1.285440613,114
노원구,5,낮음,1288,1717,0.003881988,1.333074534,159
은평구,2,낮음,1218,1574,0.001642036,1.29228243,371
서대문구,6,낮음,818,1105,0.007334963,1.350855746,421
마포구,11,보통,1201,1641,0.009159034,1.366361366,147
양천구,7,낮음,1274,1689,0.005494505,1.325745683,198
강서구,12,보통,1538,2001,0.007802341,1.301040312,141
구로구,7,낮음,1320,1736,0.00530303,1.315151515,467
금천구,8,낮음,798,1071,0.010025063,1.342105263,191
영등포구,8,낮음,1948,2643,0.004106776,1.356776181,613
동작구,2,낮음,1230,1615,0.001626016,1.31300813,73
관악구,13,보통,1254,1581,0.010366826,1.26076555,751
서초구,17,심각,2027,2959,0.008386778,1.459792797,1237
강남구,11,보통,3754,4863,0.002930208,1.295418221,815
송파구,20,심각,2500,3424,0.008,1.3696,438
강동구,9,보통,1428,1921,0.006302521,1.345238095,143
