년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용
202111 ,관악구,94,99,276,32,102,402,3,646,317,12,151,9
202112 ,관악구,94,99,15,42,102,151,3,619,310,979,152,9
202201 ,관악구,94,99,161,41,102,296,3,597,310,957,152,9
202202 ,관악구,95,99,119,89,102,303,3,577,312,939,150,9
202203 ,관악구,95,99,22,102,102,219,3,534,312,896,150,9
202204 ,관악구,95,99,118,101,102,314,3,512,311,874,150,9
202205 ,관악구,96,99,150,124,102,370,3,506,304,861,149,9
202206 ,관악구,96,99,230,119,102,445,3,472,304,826,149,9
202207 ,관악구,97,99,274,124,102,495,3,468,305,821,147,9
202208 ,관악구,97,99,159,133,102,389,3,442,307,798,147,9
202209 ,관악구,96,99,386,144,102,626,3,432,307,790,147,9
202210 ,관악구,96,99,613,150,102,859,3,418,306,771,148,9
202211 ,관악구,91,99,744,149,102,984,3,405,304,755,147,9
202212 ,관악구,92,99,640,136,102,868,3,360,301,707,147,9
202301 ,관악구,91,99,804,123,103,18,3,334,300,680,147,9
202302 ,관악구,91,99,826,134,103,51,3,316,298,660,147,9
202303 ,관악구,91,99,914,165,103,170,3,288,342,676,147,9
202304 ,관악구,91,99,899,93,103,83,3,285,342,673,146,9
202305 ,관악구,91,99,907,100,103,98,3,278,342,666,146,9
202306 ,관악구,93,99,946,80,103,119,3,249,342,637,146,9
202307 ,관악구,94,100,42,82,103,218,3,243,342,631,146,9
202308 ,관악구,94,99,874,94,103,62,3,214,344,604,146,9
202309 ,관악구,94,99,872,105,103,71,3,200,345,592,146,9
202310 ,관악구,93,99,836,109,103,38,3,155,345,547,146,9
202311 ,관악구,92,99,764,98,102,954,3,137,345,528,145,9
202312 ,관악구,92,99,596,90,102,778,3,129,346,522,144,9
202401 ,관악구,91,99,635,79,102,805,3,122,347,516,145,9
202402 ,관악구,91,99,507,60,102,658,3,109,346,501,144,9
202403 ,관악구,89,99,440,53,102,582,3,83,346,475,143,9
202404 ,관악구,90,99,437,34,102,561,3,60,347,452,143,9
202405 ,관악구,90,99,475,40,102,605,3,49,346,440,143,9
202406 ,관악구,90,99,428,22,102,540,3,21,346,412,143,9
202407 ,관악구,89,99,321,29,102,439,2,993,345,383,143,9
202408 ,관악구,89,99,193,24,102,306,2,978,345,368,139,9
202409 ,관악구,89,99,155,16,102,260,2,952,345,342,138,9
202410 ,관악구,90,98,886,994,101,970,2,926,345,316,139,8
202411 ,관악구,90,98,752,25,101,867,2,906,346,298,138,8
202412 ,관악구,90,98,650,23,101,763,2,891,347,283,144,8
202501 ,관악구,90,98,665,21,101,776,2,886,347,277,144,8
202502 ,관악구,89,98,611,17,101,717,2,863,348,255,144,8
202503 ,관악구,89,98,521,27,101,637,2,848,347,239,144,8
202504 ,관악구,89,98,608,33,101,730,2,826,346,216,145,8
202505 ,관악구,89,98,656,33,101,778,2,793,348,185,146,8
202506 ,관악구,89,98,725,25,101,839,2,766,350,160,146,8
202507 ,관악구,89,98,715,39,101,843,2,742,354,141,145,8
202508 ,관악구,89,98,670,39,101,798,2,735,354,135,145,8
202509 ,관악구,88,98,631,44,101,763,2,696,353,93,144,8
202510 ,관악구,88,98,611,36,101,735,2,675,355,74,144,8
202511 ,관악구,88,98,593,34,101,715,2,651,356,51,144,8
